: неⷣ҇:NUM,недѣлꙗ
: рече:VERB,рещи
: прежде:ADV,прѣжде adv
: даже:SCONJ,даже
: не:ADV,не
: приведена:VERB,привести
: боудеть:NOUN,бꙑти
: въ:ADP,въ
: домъ:NOUN,домъ
: женишь:NOUN,женишь
: въ:ADP,въ
: чревѣ:NOUN,чрѣво
: имꙋщи:VERB,имѣти
: ꙋтрь:ADV,ѫтрь
: бо:ADV,бо
: бѣ:AUX,бꙑти
: зане:SCONJ,занє
: бѣ:AUX,бꙑти
: древьниимъ:ADJ,дрѣвьнь
: ꙗкоже:SCONJ,ꙗкоже
: ино:DET,инъ
: много:ADJ,мъногъ
: въ:ADP,въ
: домъ:NOUN,домъ
: свои:DET,свои
: приводить:VERB,приводити
: оброученицю⁖:NOUN,обрѫченица
: ради:ADP,ради
: и:ADV,и
: не:ADV,не
: прьвѣе:ADV,прьвѣє
: оброучениѧ:NOUN,обрѫчениє
: зачатъ:NOUN,зачѧти
: и:CCONJ,и
: роди:VERB,родити
: да:ADV,да
: и:CCONJ,и
: да:ADV,да
: всѧка:ADJ,вьсꙗкъ
: зла:ADP,зълъ
: соумьнѣньꙗ:NOUN,сѫмьнѣниє
: избѣжить:VERB,избѣжати
: дѣваꙗ:NOUN,дѣваꙗ
: емоуже:PRON,иже
: бо:ADV,бо
: бѣ:AUX,бꙑти
: рьвьновати:VERB,рьвьновати
: и:CCONJ,и
: срамити:VERB,срамити
: ю:CCONJ,и
: не:ADV,не
: тъкмо:ADV,тъкъмо
: не:ADV,не
: сътвори:VERB,сътворити
: нъ:CCONJ,нъ
: и:ADV,и
: приемлющоу:VERB,приимати
: видимъ:VERB,видѣти
: и:CCONJ,и
: слоужꙗщоу:VERB,слоужити
: по:ADP,по
: рожьствѣ:NOUN,рождьство
: тъ:DET,тъ
: всѣмъ:DET,вьсь
: се:INTJ,сь
: ѧвлꙗеть:NOUN,ꙗвлꙗти
: ꙗко:SCONJ,ꙗко
: извѣщение:NOUN,извѣщениє
: приꙗ:NOUN,приѩти
: тъ:DET,тъ
: д҃хмъ:NOUN,доухъ
: того:PRON,тъ
: ради:ADP,ради
: и:CCONJ,и
: дрьжѧ:VERB,дрьжати
: и:CCONJ,и
: послоужи:VERB,послоужити
: єже:SCONJ,иже
: вещьхъ:ADJ,вещь
: есть:AUX,бꙑти
: то:ADV,тъ
: сьде:ADV,сьде
: ꙗвлꙗꙗ:VERB,ꙗвлꙗти
: реⷱ҇:NUM,рещи
: ѧко:SCONJ,ꙗко
: ѡбрѣте:VERB,обрѣсти
: въ:ADP,въ
: чревѣ:NOUN,чрѣво
: имоущи:VERB,имѣти
: ѿ:ADP,отъ
: д҃ха:NOUN,доухъ
: с҃та:ADJ,свѧтъ
: же:ADV,же
: ѿ:ADP,отъ
: д҃ха:NOUN,доухъ
: с҃та:ADJ,свѧтъ
: ничьсоже:PRON,ничьсоже
: иного:DET,инъ
: ищи:VERB,искати
: ꙗко:SCONJ,ꙗко
: како:ADV,како
: въ:ADP,въ
: чрево:NOUN,чрѣво
: како:ADV,како
: съдрьжꙗи:ADJ,съдрьжати
: все:DET,вьсь
: ѿ:ADP,отъ
: како:ADV,како
: раждꙗеть:VERB,раждати
: д҃ва:ADJ,дѣва
: и:CCONJ,и
: дѣвою:NOUN,дѣваꙗ
: како:ADV,како
: създа:VERB,съзьдати
: д҃хъ:NOUN,доухъ
: с҃тыи:ADJ,свѧтъ
: цр҃квъ:NOUN,црькꙑ
: тоу:ADV,тъ
: и:CCONJ,и
: ино:PRON,инъ
: много:ADJ,мъногъ
: правьдьна:ADJ,правьдьнъ
: же:ADV,же
: иосифа:PROPN,иосифъ
: г҃лть:VERB,глаголати
: не:ADV,не
: ꙗко:ADV,ꙗко
: частью:NOUN,чѧсть
: дѣтели:NOUN,дѣтѣль
: соуща:NOUN,бꙑти
: ѧкоже:ADV,ꙗкоже
: не:ADV,не
: лихоимьца:NOUN,лихоимьць
: соуща:NOUN,бꙑти
: нъ:CCONJ,нъ
: ꙗкоже:SCONJ,ꙗкоже
: всѣмь:DET,вьсь
: добродѣтельна:ADJ,добродѣтѣльнъ
: сего:PRON,сь
: ради:ADP,ради
: не:ADV,не
: моучити:VERB,мѫчити
: тъчью:ADV,тъчиѭ
: нъ:CCONJ,нъ
: и:ADV,и
: срамити:VERB,срамити
: не:ADV,не
: хⷪтѣ:VERB,хотѣти
: а:CCONJ,а
: инѣмь:PRON,инъ
: моужемъ:VERB,мѫжь
: непраздьнꙋ:ADJ,непраздьнъ
: ю:ADP,и
: мьнꙗ:ADJ,мьнѣти
: законъ:NOUN,законъ
: бо:ADV,бо
: велꙗше:VERB,велѣти
: моучити:NOUN,мѫчити
: тъчью:ADV,тъчиѭ
: еже:PRON,иже
: нача:ADP,начѧти
: хⷪтѣти:NOUN,хотѣти
: изгънати:VERB,изгънати
: ю:ADP,и
: ан҃глъ:NOUN,ангелъ
: прїшьдъ:VERB,прити
: възбрани:VERB,възбранити
: ємоу:NOUN,и
: почто:ADV,почьто
: даже:SCONJ,даже
: не:ADV,не
: творити:NOUN,творити
: не:ADV,не
: приде:VERB,прити
: ан҃глъ:NOUN,ангелъ
: да:SCONJ,да
: не:ADV,не
: нⷷ:ADV,не
: вѣроуеть:VERB,вѣровати
: ѧко:ADV,ꙗко
: непраздьна:ADJ,непраздьнъ
: отъ:ADP,отъ
: доуха:NOUN,доухъ
: с҃та:ADJ,свѧтъ
: видимѣ:VERB,видѣти
: бо:ADV,бо
: сущи:VERB,бꙑти
: вещи:NOUN,вещь
: и:CCONJ,и
: оудобь:ADV,оудобь adv
: есть:AUX,бꙑти
: вѣроу:NOUN,вѣра
: ꙗти:NOUN,ѩти
: и:CCONJ,и
: дѣваꙗ:NOUN,дѣваꙗ
: тоꙗ:DET,тъ
: ради:ADP,ради
: оумълъча:VERB,оумльчати
: мьнѣ:PRON,мьнѣти
: бо:ADV,бо
: ꙗко:SCONJ,ꙗко
: не:ADV,не
: иметь:VERB,ѩти
: єи:ADP,и
: оброученикъ:NOUN,обрѫченикъ
: страаньнꙋ:ADJ,страньнъ
: вешть:NOUN,вещь
: глаголюшти:VERB,глаголати
: єште:SCONJ,єще
: да:ADV,да
: ꙗвить:VERB,ꙗвити
: иѡсифова:ADJ,иосифовъ
: мꙋдрость:NOUN,мѫдрость
: моудить:VERB,мѫдити
: аньгелъ:NOUN,ангелъ
: пришьствиꙗ:NOUN,пришьствиє
: тольма:ADV,тольма
: бо:ADV,бо
: бѣ:AUX,бꙑти
: дивънъ:ADJ,дивьнъ
: иосифъ:PROPN,иосифъ
: ꙗко:SCONJ,ꙗко
: тъчью:ADV,тъчиѭ
: не:ADV,не
: моучилъ:NOUN,мѫчити
: нъ:CCONJ,нъ
: и:ADV,и
: никомоуже:PRON,никътоже
: не:ADV,не
: рече:VERB,рещи
: нъ:CCONJ,нъ
: ни:ADV,ни
: самои:DET,самъ
: мьнимѣи:VERB,мьнѣти
: нъ:CCONJ,нъ
: въ:ADP,въ
: себѣ:PRON,себе
: не:ADV,не
: ѿгънати:VERB,отъгънати
: нъ:CCONJ,нъ
: поустити:NOUN,поустити
: тольма:ADV,тольма
: бѣ:AUX,бꙑти
: кротъкъ:ADJ,кротъкъ
: и:CCONJ,и
: моудръ:ADJ,мѫдръ
: моужь:ADJ,мѫжь
: тъ:CCONJ,тъ
: почьто:ADV,почьто
: не:ADV,не
: ꙗвѣ:VERB,ꙗвѣ
: емоу:PRON,и
: анг҃лъ:NOUN,ангелъ
: ни:CCONJ,ни
: ꙗкоже:SCONJ,ꙗкоже
: пастоухомъ:NOUN,пастоухъ
: и:CCONJ,и
: захарии:PROPN,захариꙗ
: ѧко:SCONJ,ꙗко
: зѣло:ADV,ꙃѣло
: вѣрьникъ:NOUN,вѣрьникъ
: бѣ:AUX,бꙑти
: и:CCONJ,и
: не:ADV,не
: требоуꙗ:VERB,трѣбовати
: такого:DET,такъ
: видѣниѧ:NOUN,видѣниє
: почьто:ADV,почьто
: же:ADV,же
: рече:VERB,рещи
: ємоу:ADJ,и
: анг҃лъ:NOUN,ангелъ
: с҃ноу:NOUN,сꙑнъ
: д҃двъ:ADJ,давꙑдовъ
: помꙗноути:VERB,помѧнѫти
: его:PRON,и
: хотѧ:VERB,хотѣти
: ѡ:ADP,о
: дⷡдѣ:NOUN,давꙑдъ
: ѿ:ADP,отъ
: негоже:PRON,иже
: бѣ:AUX,бꙑти
: х҃оу:PROPN,христосъ
: не:ADV,не
: иже:PRON,иже
: приложи:VERB,приложити
: ꙗвлꙗ-ѧ:VERB,ꙗвлꙗти
: не:ADV,не
: разгнѣваи:VERB,разгнѣвати
: б҃а:NOUN,богъ
: рече:VERB,рещи
: ꙗко:SCONJ,ꙗко
: любодѣицю:NOUN,любодѣица
: мьнꙗ:ADJ,мьнѣти
: имѣти:NOUN,имѣти
: женоу:NOUN,жена
: же:ADV,же
: твою:DET,твои
: рече:VERB,рещи
: ꙗко:SCONJ,ꙗко
: не:ADV,не
: растьлѣноу:VERB,растьлѣти
: наричеть:VERB,нарицати
: же:ADV,же
: ю:ADP,и
: женоу:NOUN,жена
: его:PRON,и
: ѿ:ADP,отъ
: оброучениꙗ:NOUN,обрѫчениє
: ꙗкоже:SCONJ,ꙗкоже
: єсть:NOUN,бꙑти
: и:CCONJ,и
: прьвѣе:ADV,прьвѣє
: брака:NOUN,бракъ
: зѧти:NOUN,зѧть
: нарицꙗти:VERB,нарицати
: чьто:PRON,чьто
: же:ADV,же
: есть:AUX,бꙑти
: поꙗти:VERB,поѩти
: ютрь:ADV,ѫтрь
: имѣти:NOUN,имѣти
: а:CCONJ,а
: не:ADV,не
: ꙗкⷪ҇же:ADV,ꙗкоже
: ѿпоустити:VERB,отъпоустити
: ю:VERB,и
: не:ADV,не
: тъчью:ADV,тъчиѭ
: бо:ADV,бо
: рече:VERB,рещи
: безаконьнаго:ADJ,безаконьнъ
: сънꙗтиꙗ:NOUN,сънѧтиє
: кромѣ:ADV,кромѣ
: есть:AUX,бꙑти
: нъ:CCONJ,нъ
: и:ADV,и
: єстьства:NOUN,єстьство
: зачатъ:NOUN,зачѧти
: се:PRON,сь
: бо:ADV,бо
: ꙗвлꙗєть:NOUN,ꙗвлꙗти
: еже:PRON,иже
: прирече:VERB,прирещи
: г҃лꙗ:VERB,глаголати
: рожденое:VERB,родити
: бо:ADV,бо
: ѿ:ADP,отъ
: неꙗ:PRON,и
: ѿ:ADP,отъ
: д҃ха:NOUN,доухъ
: есть:AUX,бꙑти
: с҃та:ADJ,свѧтъ
: а:CCONJ,а
: еже:PRON,иже
: наречеши:VERB,нарещи
: имꙗ:NOUN,имѧ
: ему:PRON,и
: приложи:VERB,приложити
: анⷢ҇лъ:NOUN,ангелъ
: ѧкⷪже:ADV,ꙗкоже
: бы:AUX,бꙑти
: г҃лалъ:VERB,глаголати
: емꙋ:PRON,и
: да:ADV,да
: не:ADV,не
: мниши:VERB,мьнѣти
: понеже:SCONJ,понєже
: рѣхъ:VERB,рещи
: ѿ:ADP,отъ
: д҃ха:NOUN,доухъ
: есть:AUX,бꙑти
: с҃та:ADJ,свѧтъ
: тоуждѭ:ADJ,щоуждь
: ти:PRON,тꙑ
: велю:VERB,велѣти
: тебе:PRON,тꙑ
: даю:NOUN,даꙗти
: имꙗ:VERB,имѧ
: творити:VERB,творити
: аще:SCONJ,аще
: бо:ADV,бо
: и:ADV,и
: въ:ADP,въ
: рожьство:NOUN,рождьство
: никоєꙗже:DET,никꙑиже
: имаши:VERB,имати
: нъ:CCONJ,нъ
: обаче:ADV,обаче
: имꙗ:VERB,имѧ
: емоу:PRON,и
: нарьци:VERB,нарещи
: аще:SCONJ,аще
: бо:ADV,бо
: и:ADV,и
: нѣсть:VERB,не
: твое:DET,твои
: рожьство:NOUN,рождьство
: нъ:CCONJ,нъ
: ѡтъчьскⷹ:ADV,отъчьскъ
: любъвь:NOUN,любꙑ
: покажи:VERB,показати
: на:ADP,на
: немь:PRON,и
: и:CCONJ,и
: твореньємь:NOUN,творєниє
: имене:NOUN,имѧ
: тꙗ:ADV,тꙑ
: творꙗ:VERB,творити
: не:ADV,не
: рече:VERB,рещи
: же:ADV,же
: родить:VERB,родити
: ти:PRON,тꙑ
: с҃на:NOUN,сꙑнъ
: нъ:CCONJ,нъ
: родить:NOUN,родити
: да:SCONJ,да
: никтоже:PRON,никътоже
: не:ADV,не
: мнить:VERB,мьнѣти
: симь:DET,сь
: словесемъ:NOUN,слово
: ꙗко:SCONJ,ꙗко
: о҃ць:NOUN,отьць
: емоу:PRON,и
: есть:AUX,бꙑти
: не:ADV,не
: томоу:PRON,тъ
: бо:ADV,бо
: раждаше:VERB,раждати
: нъ:CCONJ,нъ
: вселенѣи:NOUN,въселєнаꙗ
: тѣмьже:ADV,тѣмьже
: и:CCONJ,и
: прирече:VERB,прирещи
: тъ:PRON,тъ
: бо:ADV,бо
: сп҃сеть:VERB,съпасти
: люди:NOUN,людиє
: своꙗ:DET,свои
: ѿ:ADP,отъ
: грѣхъ:NOUN,грѣхъ
: ихъ:PRON,и
: рекъ:VERB,рещи
: же:ADV,же
: люди:NOUN,людиє
: своꙗ:DET,свои
: не:ADV,не
: о:ADP,о
: жидъхъ:NOUN,жидъ
: тъчию:ADV,тъчиѭ
: рече:VERB,рещи
: нъ:CCONJ,нъ
: и:ADV,и
: о:ADP,о
: людие:NOUN,людиє
: бо:ADV,бо
: емоу:PRON,и
: бѣшꙗ:AUX,бꙑти
: не:ADV,не
: тъчью:ADV,тъчиѭ
: жидове:NOUN,жидъ
: нъ:CCONJ,нъ
: вьси:DET,вьсь
: приемлющеи:VERB,приимати
: разоумъ:NOUN,разоумъ
: ѿ:ADP,отъ
: него:PRON,и
: и:CCONJ,и
: о:ADP,о
: семь:PRON,сь
: же:ADV,же
: с҃нъ:NOUN,сꙑнъ
: божии:ADJ,божии
: зане:SCONJ,занє
: ѿпоущаеть:VERB,отъпоустити
: нѣсть:VERB,не
: инои:DET,инъ
: силѣ:NOUN,сила
: ѿпоущати:VERB,отпоущати
: грѣхъ:NOUN,грѣхъ
: тъкмо:ADV,тъкъмо
: соущьства:NOUN,сѫщьство
: б҃жиꙗ:ADJ,божии
: единого:NUM,єдинъ
: чьсо:PRON,чьто
: ради:ADP,ради
: же:ADV,же
: рече:VERB,рещи
: сє:CCONJ,сь
: жє:ADP,же
: вьсе:PRON,вьсь
: и:CCONJ,и
: прочеє:ADJ,прочии
: поучинѣ:NOUN,пѫчина
: божиѧ:ADJ,божии
: человѣколюбиꙗ:NOUN,чловѣколюбиє
: ѧко:SCONJ,ꙗко
: не:ADV,не
: надѣꙗньноє:NOUN,надѣꙗньнъ
: дѣло:NOUN,дѣло
: и:CCONJ,и
: ꙗко:SCONJ,ꙗко
: древлеє:ADV,древлє
: проѡбразимо:VERB,прообразити
: бѣ:AUX,бꙑти
: сего:PRON,сь
: ради:ADP,ради
: сьлеть:VERB,сълати
: юже:ADV,оуже
: анг҃лъ:NOUN,ангелъ
: иосифа:PROPN,иосифъ
: къ:ADP,къ
: исаии:PROPN,исаиꙗ
: да:SCONJ,да
: аще:SCONJ,аще
: и:ADV,и
: г҃лъ:NOUN,глаголъ
: забоудеть:NOUN,забꙑти
: ꙗко:ADV,ꙗко
: словесъ:NOUN,слово
: въспⷪ҇мꙗноу:NOUN,въспомѧнѫти
: въ:ADP,въ
: нихъже:PRON,иже
: въспитѣнъ:VERB,въспитати въспитѣти
: ѿ:ADP,отъ
: анг҃ла:NOUN,ангелъ
: оудрьжить:VERB,оудрьжати
: а:NUM,а
: марии:PROPN,мариꙗ
: же:ADV,же
: сего:PRON,сь
: не:ADV,не
: рече:VERB,рещи
: отроковици:NOUN,отроковица
: соущи:NOUN,бꙑти
: и:CCONJ,и
: мꙋжеви:VERB,мѫжь
: же:ADV,же
: ꙗко:SCONJ,ꙗко
: правьдьну(!):ADJ,правьдьнъ
: соущоу:NOUN,бꙑти
: и:CCONJ,и
: вѣдоуштоу:VERB,вѣдѣти
: пьрьвѣе:NOUN,прьвѣє
: же:ADV,же
: сего:DET,сь
: марью:NOUN,мариꙗ
: женоу:NOUN,жена
: твою:DET,твои
: гл҃ть:VERB,глаголати
: сьде:ADV,сьде
: же:ADV,же
: єгда:NOUN,єгда
: прⷪ҇рка:VERB,пророкъ
: въ:ADP,въ
: средоу:NOUN,срѣда
: въведе:VERB,въвести
: тъгда:ADV,тогда
: имꙗ:NOUN,имѧ
: дѣвьствьноє:ADJ,дѣвьствьнъ
: издрече:VERB,издрещи
: емоу:PRON,и
: запрьва:ADV,запрьва
: бо:ADV,бо
: аще:SCONJ,аще
: рекⷧ҇ъ:VERB,рещи
: ємоу:NOUN,и
: дѣвоу:NOUN,дѣва
: не:ADV,не
: сице:ADV,сице
: без:ADP,без
: ѧко:ADV,ꙗко
: многомъ:ADJ,мъногъ
: временьмь:NOUN,врѣмѧ
: ѿ:ADV,отъ
: прⷪ҇рка:VERB,пророкъ
: и:CCONJ,и
: не:ADV,не
: се:INTJ,сь
: тъкмⷪ҇:ADV,тъкъмо
: нъ:CCONJ,нъ
: и:ADV,и
: б҃ъмь:NOUN,богъ
: оутвьрждаеть:VERB,оутврьждати
: слово:NOUN,слово
: єже:ADV,иже
: рече:VERB,рещи
: реченоє:VERB,рещи
: ѿ:ADP,отъ
: г҃а:NOUN,господь
: пр҃ркъмь:NOUN,пророкъ
: ꙗкⷪ҇:SCONJ,ꙗко
: бесѣда:NOUN,бесѣда
: реⷱ҇:ADV,рещи
: прїнесена:VERB,принести
: аще:SCONJ,аще
: ли:ADV,ли
: г҃лть:VERB,глаголати
: невѣрьнии:ADJ,невѣрьнъ
: жидове:NOUN,жидъ
: то:ADV,то
: како:ADV,како
: не:ADV,не
: имꙗ:VERB,имѧ
: емоу:PRON,и
: ємманоуилъ:VERB,емманоуилъ
: ꙗкоже:SCONJ,ꙗкоже
: прⷪ҇ркъ:NOUN,пророкъ
: рече:VERB,рещи
: нъ:CCONJ,нъ
: і҃су:PROPN,исоусъ
: х҃ъ:PROPN,христосъ
: да:ADV,да
: ꙗко:SCONJ,ꙗко
: не:ADV,не
: рече:VERB,рещи
: наречеши:VERB,нарещи
: нъ:CCONJ,нъ
: нарекоуть:NOUN,нарещи
: народи:NOUN,народъ
: рече:VERB,рещи
: и:CCONJ,и
: вещїи:ADJ,вещь
: ꙗко:ADV,ꙗко
: възьрꙗть:VERB,възьрѣти
: б҃а:NOUN,богъ
: съ:ADP,съ
: вещи:NOUN,вещь
: за:ADP,за
: имꙗ:PRON,имѧ
: полагати:VERB,полагати
: ꙗкоже:SCONJ,ꙗкоже
: єгда:NOUN,єгда
: речє:VERB,рещи
: нарьци:VERB,нарещи
: имꙗ:PRON,имѧ
: отрочати:NOUN,отрочѧ
: скоро:ADV,скоро
: испроврьзи:VERB,испроврѣщи
: скⷪ҇ро:ADV,скоро
: плѣни:VERB,плѣнити
: и:CCONJ,и
: не:ADV,не
: тако:PRON,тако
: нъ:CCONJ,нъ
: ємоу:NOUN,и
: плѣнъ-і:NOUN,плѣнъ
: испроврьжение:NOUN,испроврьжениє
: градъ:NOUN,градъ
: же:ADV,же
: рече:VERB,рещи
: градъ:NOUN,градъ
: правьдѣ:NOUN,правьда
: митрополии:NOUN,митрополиꙗ
: вѣрьнъ:ADJ,вѣрьнъ
: сиѡнъ:ADJ,сионъ
: и:CCONJ,и
: никъдеже:ADV,никъдеже
: ѡбрѣтаемъ:VERB,обрѣтати
: ѧко:SCONJ,ꙗко
: правьда:NOUN,правьда
: градъ:NOUN,градъ
: нъ:CCONJ,нъ
: иерсл҃мъ:PROPN,иєроусалимъ
: нарицѧємъ:VERB,нарицати
: нъ:CCONJ,нъ
: понеже:SCONJ,понєже
: се:PRON,сь
: лоучии:ADJ,лоучии
: сего:PRON,сь
: ради:ADP,ради
: сице:ADV,сице
: его:PRON,и
: нарече:VERB,нарещи
: нарещи:VERB,нарещи
: аще:SCONJ,аще
: ли:ADV,ли
: симь:PRON,сь
: препьрѣни:VERB,прѣпьрѣти
: иного:DET,инъ
: ищꙋть:NOUN,искати
: д҃вьствьное:ADJ,дѣвьствьнъ
: имꙗ:NOUN,имѧ
: предълагають:VERB,прѣдълагати
: намъ:PRON,мꙑ
: съказатела:NOUN,съказатель
: г҃люща:VERB,глаголати
: ꙗко:SCONJ,ꙗко
: не:ADV,не
: рече:VERB,рещи
: д҃воу:ADJ,дѣва
: нъ:CCONJ,нъ
: юнотъкоу:NOUN,юнотъка
: прьвѣе:ADV,прьвѣє
: бо:ADV,бо
: то:PRON,тъ
: речемъ:VERB,рещи
: извѣстьнѣише:ADJ,извѣстьнъ
: соуть:NOUN,бꙑти
: п҃:VERB,п҃
: съказателе:NOUN,съказатель
: неже:ADV,нєже
: ини:PRON,инъ
: ини:PRON,инъ
: бо:ADV,бо
: по:ADP,по
: прїшьствии:NOUN,пришьствиє
: хрьстовѣ:ADJ,христовъ
: преложиша:VERB,прѣложити
: жидове:NOUN,жидъ
: и:PRON,и
: завистью:NOUN,зависть
: а:CCONJ,а
: п҃:NOUN,п҃
: и:CCONJ,и
: вꙗще:ADJ,вѧщии
: р҃:NOUN,р҃
: лѣтъ:NOUN,лѣто
: прежде:ADP,прѣжде
: пришьствиѧ:NOUN,пришьствиє
: г҃нѧ:ADJ,господьнь
: преложишꙗ:VERB,прѣложити
: и:CCONJ,и
: толь:ADV,толь
: мнози:ADJ,мъногъ
: соуще:NOUN,бꙑти
: паче:ADV,паче
: приꙗтьни:ADJ,приѩтьнъ
: соуть:NOUN,бꙑти
: и:CCONJ,и
: лѣтъ:NOUN,лѣто
: ради:NOUN,ради
: и:CCONJ,и
: мнⷪжьства:NOUN,мъножьство
: ради:NOUN,ради
: и:CCONJ,и
: единоглашениꙗ:NOUN,єдиноглашениє
: ради:VERB,ради
: аще:SCONJ,аще
: ли:ADV,ли
: и:ADV,и
: тѣхъ:DET,тъ
: послоушьство:NOUN,послоушьство
: не:ADV,не
: принесоуть:VERB,принести
: и:ADV,и
: тако:ADV,тако
: ѿ:ADP,отъ
: насъ:PRON,мꙑ
: побѣда:NOUN,побѣда
: боудеть:NOUN,бꙑти
: и:CCONJ,и
: ꙋнотьчьскоє:ADJ,юнотьчьскъ
: бо:ADV,бо
: имꙗ:NOUN,имѧ
: есть:AUX,бꙑти
: книгамъ:NOUN,кънигꙑ
: о:ADP,о
: дѣвьствѣ:NOUN,дѣвьство
: г҃лати:NOUN,глаголати
: не:ADV,не
: ѡ:ADP,о
: женахъ:NOUN,жена
: тъчью:ADV,тъчиѭ
: нъ:CCONJ,нъ
: и:ADV,и
: о:ADP,о
: моужихъ:VERB,мѫжь
: юноша:NOUN,юноша
: бо:ADV,бо
: рече:VERB,рещи
: и:CCONJ,и
: старьци:NOUN,старьць
: съ:ADP,съ
: юнотами:NOUN,юнота
: и:CCONJ,и
: отроковици:NOUN,отроковица
: же:ADV,же
: обидимѣ:VERB,обидѣти
: гл҃ть:VERB,глаголати
: ꙗко:SCONJ,ꙗко
: аще:SCONJ,аще
: възгласить:VERB,възгласити
: юнотъка:NOUN,юнотъка
: сирѣчь:ADV,сирѣчь
: д҃ваѧ:ADJ,дѣваꙗ
: и:CCONJ,и
: предъречениа:NOUN,прѣдъречениє
: же:ADV,же
: сихъ:DET,сь
: се:DET,сь
: слово:NOUN,слово
: съставлꙗють:VERB,съставлꙗти
: сє:CCONJ,се
: дасть:VERB,дати
: самъ:PRON,самъ
: г҃ь:NOUN,господь
: вамъ:PRON,вꙑ
: знаменьє:NOUN,знамениє
: и:CCONJ,и
: се:PRON,се
: прирече:VERB,прирещи
: се:INTJ,се
: дѣва:NOUN,дѣва
: въ:ADP,въ
: чревѣ:NOUN,чрѣво
: прииметь:VERB,приѩти
: коє:PRON,кꙑи
: же:ADV,же
: знаменьє:NOUN,знамениє
: аще:SCONJ,аще
: бракомъ:NOUN,бракъ
: бѣ:AUX,бꙑти
: родити:VERB,родити
: дѣвѣ:NOUN,дѣва
: знаменью:NOUN,знамениє
: бо:ADV,бо
: подобаеть:VERB,подобати
: вьсѣхъ:DET,вьсь
: и:CCONJ,и
: славьноу:ADJ,славьнъ
: и:CCONJ,и
: чоудьноу:ADJ,чоудьнъ
: аще:SCONJ,аще
: ли:ADV,ли
: ни:ADV,ни
: како:ADV,како
: єсть:VERB,бꙑти
: понеже:SCONJ,понєже
: иосифъ:PROPN,иосифъ
: сътвори:VERB,сътворити
: ꙗкоже:ADV,ꙗкоже
: повелѣ:VERB,повелѣти
: емоу:PRON,и
: анг҃лъ:NOUN,ангелъ
: г҃нь:NOUN,господьнь
: и:CCONJ,и
: о:ADP,о
: семь:DET,сь
: послоушаниє:NOUN,послоушаниє
: его:PRON,и
: и:CCONJ,и
: неперьстⷡо:NOUN,непьрьство
: и:PRON,и
: егда:ADV,єгда
: бо:ADV,бо
: непьщевааше:VERB,непьщевати
: неправьдьноє:ADJ,неправьдьнъ
: не:ADV,не
: хотꙗ:VERB,хотѣти
: оудрьжати:VERB,оудрьжати
: ни:CCONJ,ни
: егда:ADV,єгда
: кромѣ:ADV,кромѣ
: соумьнѣньꙗ:NOUN,сѫмьнѣниє
: того:DET,тъ
: не:ADV,не
: изгъна:VERB,изгънати
: и:CCONJ,и
: послоужи:VERB,послоужити
: въсемоу:DET,вьсь
: съмотрению:NOUN,съмотрєниє
: поѧтъ:VERB,поѩти
: бо:ADV,бо
: рече:VERB,рещи
: марию:PROPN,мариꙗ
: женоу:NOUN,жена
: свою:DET,свои
: женьское:ADJ,женьскъ
: же:ADV,же
: часто:NOUN,чѧсто
: полагаеть:VERB,полагати
: евнⷢ҇листъ:NOUN,евангелистъ
: не:ADV,не
: хотꙗ:VERB,хотѣти
: тоꙗ:DET,тъ
: нъ:CCONJ,нъ
: и:ADV,и
: злое:NOUN,зълъ
: сꙋмьнѣнье:NOUN,сѫмьнѣниє
: отемлꙗ:VERB,отъимати
: а:CCONJ,а
: еже:PRON,иже
: не:ADV,не
: вѣдѣаше:VERB,вѣдѣти
: єꙗ:ADV,и
: доньдеже:SCONJ,доньдеже
: роди:VERB,родити
: свои:DET,свои
: прьвѣньць:NOUN,прьвѣньць
: не:ADV,не
: мьнимъ:VERB,мьнѣти
: зане:SCONJ,занє
: лежить:VERB,лежати
: доньдеже:SCONJ,доньдеже
: ꙗко:ADV,ꙗко
: потомь:ADV,потомь
: ю:ADV,и
: потомь:ADV,потомь
: же:ADV,же
: озна(!):VERB,познати
: еже:PRON,иже
: бо:ADV,бо
: доньдеже:ADV,доньдеже
: єсть:VERB,бꙑти
: книгамъ:NOUN,кънигꙑ
: множицею:ADV,мъножицеѭ
: полагати:VERB,полагати
: въ:ADP,въ
: ꙗкоже:SCONJ,ꙗкоже
: ꙗко:ADV,ꙗко
: не:ADV,не
: вранъ:NOUN,вранъ
: въ:ADP,въ
: ковьчегъ:NOUN,ковьчегъ
: доньдеже:SCONJ,доньдеже
: исъше:VERB,исъхнѫти
: землꙗ:NOUN,землꙗ
: ибо:ADV,ибо
: и:ADV,и
: по:ADP,по
: семь:PRON,сь
: не:ADV,не
: въсиꙗеть:VERB,въсиꙗти
: въ:ADP,въ
: дьнь:NOUN,дьнь
: єго:NOUN,и
: правьда:NOUN,правьда
: и:CCONJ,и
: множьство:NOUN,мъножьство
: мироу:NOUN,миръ
: доидеже:SCONJ,доидеже
: ѿиметь:VERB,отѧти
: лоуна:NOUN,лоуна
: се:PRON,сь
: же:ADV,же
: рече:VERB,рещи
: не:ADV,не
: ꙗвлꙗѧ:VERB,ꙗвлꙗти
: добраго:ADJ,добръ
: сего:DET,сь
: ибо:ADV,ибо
: и:ADV,и
: въиноу:ADV,вꙑинѫ
: положилъ:VERB,положити
: же:ADV,же
